Name,ADP,ADP_FP,ADP_ESPN
Carlos Rodon,183.2,188.0,178.5
Trevor Rogers,183.6,117.0,250.3
Kazuma Okamoto,184.0,184.0,
Luis Robert Jr.,185.8,118.0,253.5
Mike Trout,186.1,162.0,210.2
Bryce Miller,187.8,266.0,109.7
Jacob Misiorowski,187.9,126.0,249.8
Trevor Megill,188.9,139.0,238.8
Matt McLain,189.6,232.0,147.3
Cam Schlittler,190.4,121.0,259.7
Trey Yesavage,191.0,122.0,260.0
Jo Adell,191.3,123.0,259.6
Carlos Estevez,191.8,128.0,255.6
Nick Lodolo,192.3,127.0,257.6
Jakob Marsee,194.0,129.0,259.1
Andy Pages,194.4,130.0,258.7
Zac Gallen,194.5,243.0,146.0
Royce Lewis,195.1,182.0,208.2
Brandon Lowe,195.4,133.0,257.8
Daniel Palencia,195.6,132.0,259.2
Adolis Garcia,195.6,242.0,149.1
Daulton Varsho,197.1,191.0,203.2
Gavin Williams,197.6,138.0,257.1
Brendan Donovan,198.6,250.0,147.2
Ceddanne Rafaela,199.0,148.0,249.9
Sandy Alcantara,199.7,145.0,254.4
Noelvi Marte,200.2,142.0,258.4
Ezequiel Tovar,200.4,221.0,179.8
Emmet Sheehan,200.4,141.0,259.9
Jack Flaherty,200.5,252.0,149.0
Munetaka Murakami,201.0,201.0,
Jacob Wilson,201.2,147.0,255.4
Jonathan Aranda,201.4,143.0,259.9
Tyler Stephenson,202.4,214.0,190.9
Emilio Pagan,204.0,149.0,259.0
Xavier Edwards,204.2,155.0,253.3
Alec Bohm,204.2,246.0,162.4
Spencer Torkelson,204.5,157.0,252.0
Ryan Pepiot,204.7,153.0,256.4
Jackson Holliday,205.8,160.0,251.5
Jurickson Profar,207.9,163.0,252.8
Kenley Jansen,208.0,165.0,251.0
Alec Burleson,208.3,198.0,218.6
Chase Burns,208.4,158.0,258.7
Francisco Alvarez,208.6,193.0,224.2
Chandler Simpson,208.8,159.0,258.6
Xander Bogaerts,209.0,233.0,184.9
Shane Baz,210.7,219.0,202.4
Pete Fairbanks,210.9,167.0,254.8
Ivan Herrera,211.0,164.0,258.0
Ranger Suarez,211.2,172.0,250.4
Robert Suarez,212.4,275.0,149.9
Bryson Stott,214.6,235.0,194.2
Dylan Crews,215.0,173.0,256.9
Bailey Ober,215.8,305.0,126.6
Andrew Abbott,216.2,181.0,251.3
Robbie Ray,216.3,185.0,247.6
Colson Montgomery,217.8,176.0,259.5
Bubba Chandler,217.9,177.0,258.8
Griffin Jax,218.0,241.0,195.0
Gabriel Moreno,218.8,178.0,259.6
Gerrit Cole,219.0,179.0,259.1
Spencer Steer,219.6,244.0,195.2
Cade Horton,220.3,183.0,257.6
Mark Vientos,221.6,231.0,212.1
Matthew Boyd,221.8,200.0,243.7
Alejandro Kirk,222.2,194.0,250.5
Jorge Polanco,223.0,187.0,259.0
Logan O'Hoppe,223.6,282.0,165.3
Kyle Teel,224.5,189.0,260.0
Dennis Santana,225.8,192.0,259.6
Roki Sasaki,226.2,216.0,236.5
Drew Rasmussen,226.3,196.0,256.6
Nolan Arenado,227.4,322.0,132.9
Chris Bassitt,227.6,281.0,174.1
Edward Cabrera,228.3,197.0,259.6
Addison Barger,228.7,199.0,258.4
Giancarlo Stanton,228.8,206.0,251.6
Kodai Senga,229.2,299.0,159.5
Abner Uribe,229.6,202.0,257.1
Ramon Laureano,231.0,204.0,257.9
Konnor Griffin,232.5,205.0,260.0
Sal Stewart,233.5,207.0,260.0
Max Muncy,234.0,212.0,256.0
Wilyer Abreu,234.5,211.0,258.0
Carter Jensen,235.0,210.0,260.0
Carlos Correa,235.0,222.0,248.1
Shane Bieber,236.6,217.0,256.2
Samuel Basallo,237.1,215.0,259.2
Sal Frelick,237.2,218.0,256.4
Merrill Kelly,239.8,228.0,251.6
Daylen Lile,239.9,220.0,259.8
Trent Grisham,241.0,223.0,258.9
Kyle Manzardo,241.0,224.0,258.0
Marcell Ozuna,242.4,406.0,78.7
Heliot Ramos,242.8,229.0,256.6
Seranthony Dominguez,243.0,226.0,260.0
Noah Cameron,243.3,227.0,259.6
Jack Leiter,244.8,230.0,259.5
J.T. Realmuto,246.3,249.0,243.6
Shane McClanahan,246.9,236.0,257.8
JJ Wetherholt,247.0,234.0,260.0
Yusei Kikuchi,247.5,302.0,193.0
Joe Musgrove,248.5,237.0,260.0
Connelly Early,249.5,239.0,260.0
Mickey Moniak,249.8,240.0,259.7
Jake Burger,252.4,332.0,172.7
Carson Benge,252.5,245.0,260.0
Jac Caglianone,253.2,247.0,259.4
Austin Wells,253.4,254.0,252.8
Otto Lopez,254.1,248.0,260.2
Hunter Gaddis,255.3,251.0,259.6
Jasson Dominguez,255.4,256.0,254.7
Colton Cowser,255.4,255.0,255.9
Casey Mize,258.2,259.0,257.4
Grayson Rodriguez,258.4,258.0,258.9
Justin Crawford,258.5,257.0,260.0
Hurston Waldrep,258.8,263.0,254.6
Bryan Abreu,258.9,276.0,241.8
Nick Castellanos,259.7,425.0,94.4
Owen Caissie,259.8,260.0,259.7
Quinn Priester,260.2,262.0,258.3
Andrew Vaughn,260.2,293.0,227.3
Jose Caballero,261.0,264.0,258.0
Mitch Keller,261.5,342.0,181.0
Ryan Weathers,262.5,265.0,260.0
Tyler O'Neill,263.2,269.0,257.4
Dylan Beavers,263.5,267.0,260.0
Luis Garcia,264.0,268.0,260.0
Jeremiah Estrada,264.8,271.0,258.7
Jordan Beck,265.0,270.0,260.0
Robert Garcia,266.0,272.0,259.9
Ryne Nelson,266.6,273.0,260.2
Jared Jones,266.8,274.0,259.7
Ryan Jeffers,267.7,277.0,258.4
Evan Carter,268.6,278.0,259.1
Edwin Uceta,270.0,280.0,260.0
Brady Singer,270.4,309.0,231.7
Sean Murphy,271.2,296.0,246.3
Riley O'Brien,271.5,283.0,260.0
Josh Lowe,271.7,289.0,254.4
Ryan O'Hearn,272.3,288.0,256.6
Moises Ballesteros,272.5,285.0,260.0
Lenyn Sosa,272.7,286.0,259.4
Dillon Dingler,273.0,287.0,259.0
Caleb Durbin,273.8,290.0,257.7
Ian Seymour,275.5,291.0,260.0
Parker Messick,276.0,292.0,260.0
Tommy Edman,276.2,382.0,170.5
Shane Smith,277.0,295.0,258.9
Zebby Matthews,277.0,294.0,260.0
Brett Baty,277.7,297.0,258.4
Marcelo Mayer,278.9,298.0,259.8
Willi Castro,279.2,323.0,235.4
Andrew Painter,280.0,300.0,260.0
Joey Cantillo,280.4,301.0,259.9
Chase DeLauter,281.5,303.0,260.0
Bennett Sousa,282.0,304.0,260.0
Seth Lugo,283.0,355.0,210.9
Ryan Waldschmidt,283.0,306.0,260.0
Logan Henderson,283.5,307.0,260.0
Robby Snelling,284.0,308.0,260.0
Matt Svanson,285.0,310.0,260.0
Alex Vesia,285.2,311.0,259.4
Spencer Arrighetti,285.6,312.0,259.1
Sean Manaea,285.8,315.0,256.6
Braxton Ashcraft,286.4,313.0,259.9
Andrew Benintendi,287.0,314.0,260.0
Jung Hoo Lee,287.0,329.0,245.0
Masyn Winn,287.0,317.0,256.9
Bryce Eldridge,288.0,316.0,260.0
Kirby Yates,288.3,319.0,257.6
Harrison Bader,288.5,318.0,259.0
George Valera,290.0,320.0,260.0
Justin Sterner,290.4,321.0,259.9
Matt Shaw,291.4,325.0,257.7
Tanner Scott,291.8,422.0,161.5
Kevin Ginkel,292.0,324.0,260.0
Tyler Mahle,292.3,328.0,256.6
Kevin McGonigle,293.0,326.0,260.0
Brayan Bello,293.2,330.0,256.4
Edgar Quero,293.4,327.0,259.9
Brandon Pfaadt,293.4,414.0,172.9
Luke Weaver,293.9,341.0,246.8
David Peterson,294.8,331.0,258.5
